,,January,March,March,March,May,May,May,August,,,,October,,November,,,,,,,,,,
,,Eldoret Open Chess Championship GrandPrix Ciruit,Kisumu Open Chess Championship 2026,"2nd Edition, Mavens Open International Chess Championship 2026",2026 Sataranji Africa Chess Festival,2026 Kiambu Open Chess Championship,2026 Kakamega Open Chess Championship,Quo Vadis Nyeri Chess Open 2026,,"
1st Nairobi Chess Club Grand Prix - Ladies",,,,,,,,,,,,,,,
FIDE ID,Name,Rp,Rp,Rp,Rp,Rp,Rp,Rp,Rp,Rp,Rp,Rp,Rp,,Rp,,,Best ,2nd Best,3rd Best ,4th Best ,Number of Events,Number of events,AVRG/4 EVENTS,Avrg/Events Played
,Yvonne Wanja,,,,1555,,,,,,,,,,,,,1555,,,,1,Played 1 Event,1555,"1,555"
,Precious Chebet,,,,1551,,,,,,,,,,,,,1551,,,,1,Played 1 Event,1551,"1,551"
10834729,"Skylar, Amor",,1539,,,,,,,,,,,,,,,1539,,,,1,Played 1 Event,1539,"1,539"
10877894,"Salma Nkatha Mwenda,",,,,,1518,,,,,,,,,,,,1518,,,,1,Played 1 Event,1518,"1,518"
10893768,"Faith, Nyambura Gachihi",1508,,,,,,,,,,,,,,,,1508,,,,1,Played 1 Event,1508,"1,508"
10839194,"Kim, Vivica",,1491,,,,,,,,,,,,,,,1491,,,,1,Played 1 Event,1491,"1,491"
10838716,Chepkoiwo Blessing Jerutich,1486,,,,,,,,,,,,,,,,1486,,,,1,Played 1 Event,1486,"1,486"
10836560,1355,,,,1461,,,,,,,,,,,,,1461,,,,1,Played 1 Event,1461,"1,461"
,Aloo Nyobala,,1456,,,,,,,,,,,,,,,1456,,,,1,Played 1 Event,1456,"1,456"
10830740,"Mutheu, Yasmin",,,,,,,,1450,,,,,,,,,1450,,,,1,Played 1 Event,1450,"1,450"
10827943,"Kamoni, Elsie Wambui",,,,1444,,,,,,,,,,,,,1444,,,,1,Played 1 Event,1444,"1,444"
10873309,"Nikisha, Makena Thuranira",,,1429,,,,,,,,,,,,,,1429,,,,1,Played 1 Event,1429,"1,429"
10834613,Wendoh Brianna Brandy,,1393,,,,,,,,,,,,,,,1393,,,,1,Played 1 Event,1393,"1,393"
10834591,Breetalizah Amanda,,1330,,,,,,,,,,,,,,,1330,,,,1,Played 1 Event,1330,"1,330"
10834850,"Makanga, Annabel",1323,,,,,,,,,,,,,,,,1323,,,,1,Played 1 Event,1323,"1,323"
10819282,Karanja Ether,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10811354,"Kariuki, Silvia Wahito",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10806601,Mercy Ingado,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10814566,Muturi Elsie,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10806725,Vivian Muthoni,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10834605,"Chagwaya, Brenda",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10848525,Bhavsar Nisha Nileshbhai,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10827986,"Arianne, Hera Ngani",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10808515,"Adhiambo, Edna Onyango",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10878939,"Sesenet, Moisari Kantai",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10838716,"Chepkoiwo, Blessing Jerutich",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10874089,"Kosala, Pamela",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
