,,January,March,March,March,May,May,May,August,,,,October,,November,,,,,,,,,,
,,Eldoret Open Chess Championship GrandPrix Ciruit,Kisumu Open Chess Championship 2026,"2nd Edition, Mavens Open International Chess Championship 2026",Sataranji Open Chess Championship 2026,2026 Kiambu Open Chess Championship,2026 Kakamega Open Chess Championship,Quo Vadis Nyeri Chess Open 2026,,"
1st Nairobi Chess Club Grand Prix - Open",,,,,,,,,,,,,,,
FIDE ID,Name,Rp,Rp,Rp,Rp,Rp,Rp,Rp,Rp,Rp,Rp,Rp,Rp,,Rp,,,Best ,2nd Best,3rd Best ,4th Best ,Number of Events,Number of events,AVRG/4 EVENTS,Avrg/Events Played
554003091,Ethan Kipchumba,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10859217,"Ethan, Ojowi",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10896490,"Eugene, Knights",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10890564,"Eugene, Zablon",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10896562,Evans Lmelita Oloishuro,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10898182,Fabian Fabrice Githinji,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
554006392,Francis Rennox,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10887237,"Francis, Kirite",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10898000,Franck Otieno,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10896902,"Frank, Maina",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
554005671,Fredrick Ngigi,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10837639,"Gacheru, Francis Nderitu",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10817476,"Gakembu, Hiram",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10813640,"Garang, Lual",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10844376,Gathogo Maxwell Nyawira,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10896910,"Gekonge, Gideon",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
554005663,Gerald Aduda Obede,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10824065,"Getange, Johnpaul",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10850180,"Gian, Wema",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10850210,"Gianni, Tuli",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10893830,Gicharu Dylan,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10835628,Gichuga Wanjiru Wanjiku,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10898204,Gillian Della,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10834303,"Githiga, John",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10899294,"Gitonga Murang'a,",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10810277,"Gitonga, Austin Muthui",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10898212,Glain Amukhoye,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10898018,Godluck Githinji,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10811605,Gwada James,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10896929,"Harrison, Joseph",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10845305,"Hawi, Gregory",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10898220,Henry Oluoch,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10898034,Hezekiah Elisha,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10896937,"Hezron, Cheruiyot",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10803491,"Hongo, Victor Machel",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10899308,"Ian, Gioko Kamindu",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10896945,"Isaac, Baraka",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10813020,Isaiah Otieno Oluoch,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10853669,"Ivan, Ngeno",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10845666,Jacksletter Musyoka,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
554005531,Jadiel Korir,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10896953,"Jamar, Gavril",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10813381,James Emanikor,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10854827,Janai Joseph Anyonyi,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10896961,"Jared, Ngeywo",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10855700,"Jayden, Herman",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
554006970,Jesse Kagori,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10806890,"Joel, Okindo",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10899324,"John Mwangi Mwai,",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10859667,"John, Chege",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10898042,Jokhim Joseph,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10859977,Joseph Wambua,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10847952,"Joseph, Masika Wanjala",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10863621,"Jude Gachinga,",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10899332,"Justin Jabali Kamau,",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10837698,Kabbis Roby,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10827790,Kabechu Dennis,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10806075,"Kabugu, Njagi",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10813934,Kagambi Jeremiah,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10814418,Kagambi Samuel,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10820701,Kalati Dennis,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10834273,"Kamanda, Ryan",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10823190,Kamau Emmanuel,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10846506,"Kamau, Elijah",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10896970,"Kamau, Jeremy",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10824545,Kamoni Elvin,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10831525,Kamoni Elvis Githae,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10827757,"Kamukwa, Anthony",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10837736,"Kangwana, Hosni",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10840117,Karani Kennedy,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
554006473,Karibe Adrian Rwingo,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10818421,"Karugo, David Maina",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10845429,Kelly Etabo Esekon,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10847960,Kelly Mwaniki,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10862900,Kerry Kiambi,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10896988,"Kevin, Mulweye",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10831754,"Khot, Ajak David",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10827340,"Kibon, Emmanuel Kibet",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10842977,"Kibue, Andre",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10846735,"Kienjeku, Evans Muigai",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10896643,"Kigen, Collins",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10827811,Kiggs Michael,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10811087,"Kimani, Hubert",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10807012,"Kimani, Kimingi",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10896996,"Kimtai, Brian",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10897011,"Kipchumba, Hillary",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10897020,"Kipchumba, Nicholas",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10844473,"Kipkemei, Allan Kiptum",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10897046,"Kipkoech, Norman",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10897054,"Kiplangat, Meshack",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10899340,"Kiprono, Lance Kirui Mutai",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10897070,"Kiprop, Lincoln",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10867678,"Kiprop, Louis",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10811060,"Kisindai, Paul Wangwe",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10897089,"Koech, Kennedy",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10817352,"Korir, Vincent Kipkoech",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10897097,"Kosgei, Kelvin",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10834060,Kyalo Peter,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10866078,"Lemuel, Ngunjiri",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
,"Leone, David",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10834184,Levi Joshua,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10838317,Lewatachum Levin Sadiki,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10896651,"Lucas, Bernard",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10825770,"Lukoko, Moses",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10843256,"Lumula, Jason Jude",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10801766,Lwanga Charles Karoli,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10840095,Maari Kelly Sosi,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10815589,Macharia Mwangi Stanley,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
554004500,"Macharia, Godwil",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10882502,"Maguor, Deng Gheit Longar",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10897100,"Maina, Hezron",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10898069,Makori Zion,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10854185,"Mandela, Jacob",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10811036,"Mangi, Lenox",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10834745,"Maoga, Trevor",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10834745,"Maoga, Trevor",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10820175,"Marani, Caleb",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10833340,Marc-Antoine Ishimwe Ndagijimana,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10833340,Marc-Antoine Ishimwe Ndagijimana,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10868640,Mark Gacheru,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10821180,Martin Kagiri,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10809163,Martin Mambo,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10869247,Master Walter Aira,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10818430,Mathenge Gichuga,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
554003016,Matthew Muchiri,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10894853,"Mburu, Daniel",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10847693,"Mich, Jayden",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10806873,"Michuki, Francis",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10818731,"Mitsanze, Mark",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10897119,"Mogambi, Ian",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10838104,Mokua Jayden Wrenon,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10892567,Morgan Israel,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10897127,"Morphine, Makhokha",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10871063,"Moses, Munene",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10837400,"Muchiri, Henry",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10848886,Muchoki Morgan Maina,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10809546,"Muchugu, Christian Nderi",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10816224,Mugambi Ezekiel,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10839704,"Muganzi, Delmas Gwademba",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10833331,Mugisha Jean- Christophe,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10811680,Mugwanja Nathaniel,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10843612,"Muhambe, Terrence Shisundi",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10845461,"Mukhwana, Gene Pence Barasa",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10801685,Mulaga Geoffrey,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10896368,"Muli, Dan Kilonzo",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10826955,"Muli, Raphael Muthenya",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
554006600,Mulili Joseph Kitho,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10815023,"Muluda, Chahindi",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10817492,"Munene, Dean Martin",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10895973,Munyao Kelvin Makau,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10897135,"Murgor, Kibet",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10814051,"Muriithi, Alexander",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10827420,"Murimi, Brian",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10821953,"Mutembei, Victor",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10845992,Muthee Vianney Kaberere,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10843949,"Mutuma, Victor Mutugi",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10838082,Muturi Medwin Morara,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10840222,Mwalugha Oliver,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10832319,Mwangi Mike Njoroge,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10843000,Mwangi Victor,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10896686,"Mwangi, Douglas",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10808698,"Mwangi, Samuel Macharia",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10849033,"Mwangi, Zachary Kamau",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10894470,"Mwaniki, Joseph Gacura",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10821392,Mwanyika Mike,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10898077,Mwisiati Ian,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10838546,Ndua Nathaniel,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10897828,Nelvin Mundia,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10872817,"Nevin, Nduati Mwangi",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10835113,"Nganga, David",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10819444,Ngesa Francis,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10813756,"Ngony, John Thon",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10834362,Ngugi Francis,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
554009065,Nicodemus Koira Karitie,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10827048,"Njeri, Collins Mburu",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10811320,Njoroge Billy Timothy,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10803572,Njoroge Dadson Rwamba,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10866906,Nyakundi Wesley Kithinji,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10821015,Nyakundi Zadock,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10897143,"Obiero, Franklin",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10843299,Ochiel John,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10832815,Ochieng Calvince,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10829016,"Ochieng, Innocent",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10832718,Oddiaga Nigel,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10832718,"Oddiaga, Nigel",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10827773,"Odero, Francis",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10842551,"Ododa, Ashford",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10827889,"Okemwa, Eugene",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10844058,Okwemba Elvis,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10814078,Olando Paul Jnr,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10844392,Oliver Aggrey,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10844392,Oliver Aggrey,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10836560,Oluchiri Jadarudo Achieng,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10836560,"Oluchiri, Jadarudo Achieng",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10836586,"Oluchiri, Jeshurun Inyangala",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10814647,"Oluka, Robert Mcligeyo",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
554004772,"Oluoch, Ian",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10823697,"Omani, Wycliffe",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10849246,Omondi Humphrey,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10823425,"Omondi, Stanley",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10815031,Omwela Elisha,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10802169,"Onditi, Jacob Lusi",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10894314,"Ongeri, Moses Obure",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10805214,"Ongono, Victor",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10846450,Onyango Paul Ochieng,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10843728,"Oredo, Brian Otieno",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10805745,Oruke Glen Kingoina,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10821872,Osidiana Eli,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10832378,Osundwa Ihabi,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10841229,"Otiende, Kennedy",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10802320,Otieno George Ochieng,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10829180,Otieno Ronny,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10843655,"Ouma, Effim Samuel",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10845283,"Ouma, Stanley",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10838929,"Ousia, Marvin",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10840788,"Palanga, Boston",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10893032,"Peter, Odoyo",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10875204,"Prince, Isaac Munyua",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10875263,"Prince, Kiarie",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10899359,"Ravjoel Murithi,",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10897747,"Rene, Michael Witila",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10897151,"Robert, Peru",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10894462,Sadiq Asman,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10894462,"Sadiq, Asman",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
,Samuel Gaetano,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10844929,"Sawe, Allan",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10878831,"Sean, Ringera",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10836152,Serede Elvis Mugilwa Jnr,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10845275,"Sewe, Adriel",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10843370,Shapwala Paul Okuyo,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10897640,"Shawn, Mukunza",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10888446,"Shiroko, Excellent",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
554004594,"Sikuku, Leonard",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10806024,"Sinoya, Evans",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10845283,"Stephen, Richard",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10899367,"Symon, Kanini Kung'u",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
,Telvin Oyawa,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10827706,"Temoi, Patriedge Remi",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10839259,"Tindi, Victor",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10882340,"Vansh, Shah",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10897160,"Victor, Koech",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10810536,Wachania Leone Wachira,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10839518,Wachira Wilson,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10846891,Wafula Berry John,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10835539,Waichinga Dennis,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10896805,"Walter Amos, Luzing'a",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10826556,"Wambalo, Wong",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10837434,"Wanjihia, Anthony",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10839534,Wanyonyi Joshua,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10838554,"Warimwe, David James",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10831150,Waswa Abigael,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10815317,Wathimba Bradley,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10839895,"Waweru, Stephen",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10812458,"Wayodi, Patrick",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10847090,Wekesa Caleb Simiyu,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10841636,Wema Dylan,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10897178,"Wesonga, Zulfikar",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10825614,William Gitau,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
,William Kibe,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
554002915,William Mworia,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10898085,Wilson Ochwada,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10892699,Wisley Oriki,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10884890,"Yator, Mugo Waikwa",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10801391,Young Collins,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10885153,"Zeke, Mugo",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
